candidate_id,predicted_fit_score,name,headline,current_role,market_demand_score,days_since_active,technical_credibility_score,trust_score,semantic_score
CAND_0002957,41.673900408020785,Advaith Shah,Senior Data Engineer | 6.0+ yrs in data engineering,Senior Data Engineer,0.5654,43,0.3008,0.805,0.5667708
CAND_0086300,41.63582336719381,Vihaan Kapoor,DevOps Engineer | Backend systems & APIs,DevOps Engineer,0.4354,96,0.259,0.906,0.5603062
CAND_0046703,41.60340531065025,Aarav Vora,Senior Software Engineer | 4.5+ yrs in data engineering,Senior Software Engineer,0.7592,135,0.4456,1.0,0.58160293
CAND_0002728,41.598703599818315,Naina Bhatia,"Backend Engineer | SQL, Spark, Cloud",Backend Engineer,0.329,139,0.3876,0.895,0.53708076
CAND_0011955,41.580921452903596,Jay Vora,"Data Analyst | SQL, Spark, Cloud",Data Analyst,0.753,128,0.4994,0.799,0.5113622
CAND_0072925,41.567721902087015,Priya Bansal,Cloud Engineer | Full-stack development,Cloud Engineer,0.6612,96,0.368,0.772,0.5661428
CAND_0012220,41.557804776764904,Amit Hegde,Full Stack Developer | Full-stack development,Full Stack Developer,0.3642,188,0.421,0.917,0.55708796
CAND_0057494,41.55473514454008,Avni Verma,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.6692,111,0.3943,0.77,0.56063354
CAND_0017516,41.55215793496004,Saanvi Verma,Senior Data Engineer | 6.6+ yrs in data engineering,Senior Data Engineer,0.4424,53,0.4151,0.772,0.5411732
CAND_0058628,41.51020646720117,Advaith Shah,Data Analyst | Data pipelines & analytics,Data Analyst,0.39,100,0.5548,0.824,0.50111586
CAND_0019200,41.5086706579421,Tanvi Singh,AI Research Engineer | 7.0 yrs in analytics & ML,AI Research Engineer,0.88,115,0.3858,0.851,0.5642926
CAND_0038459,41.50591558394753,Kabir Verma,"Senior Software Engineer | SQL, Spark, Cloud",Senior Software Engineer,0.603,130,0.2654,0.884,0.56596017
CAND_0004769,41.48383449932116,Shaurya Shetty,QA Engineer | Full-stack development,QA Engineer,0.5156,107,0.3728,0.873,0.55502003
CAND_0056086,41.473742927848576,Sanjay Reddy,Mobile Developer | Backend systems & APIs,Mobile Developer,0.383,100,0.4876,0.985,0.55309963
CAND_0020876,41.47348229133089,Dev Kumar,"Data Engineer | SQL, Spark, Cloud",Data Engineer,0.9452,103,0.4688,0.923,0.5497063
CAND_0022351,41.46116756609663,Yash Patel,Analytics Engineer | Data pipelines & analytics,Analytics Engineer,0.6558,125,0.4047,0.913,0.4954174
CAND_0098709,41.43115030021278,Aadhya Pandey,Backend Engineer | Data pipelines & analytics,Backend Engineer,0.898,124,0.3249,0.782,0.53783846
CAND_0096801,41.42930722337906,Aisha Gupta,AI Research Engineer | Data Science & ML enthusiast,AI Research Engineer,0.991,48,0.5596,0.806,0.5582669
CAND_0084005,41.40483943617562,Ananya Mehta,Backend Engineer | 6.1+ yrs in data engineering,Backend Engineer,0.7802,105,0.5342,0.87,0.56063604
CAND_0036042,41.388888752974246,Rahul Kumar,Software Engineer | Backend systems & APIs,Software Engineer,0.5122,21,0.2148,0.8,0.5305585
CAND_0067609,41.363331615533774,Krishna Chopra,Junior ML Engineer | 4.5 yrs in analytics & ML,Junior ML Engineer,0.545,115,0.583,0.994,0.5568731
CAND_0041913,41.34063331096213,Pooja Mukherjee,Software Engineer | 7.8+ yrs in data engineering,Software Engineer,0.925,85,0.2264,0.943,0.55520546
CAND_0093931,41.301755901690576,Dhruv Dalal,Senior Software Engineer | 4.6+ yrs in data engineering,Senior Software Engineer,0.6544,107,0.184,0.829,0.56078666
CAND_0085222,41.29996665293188,Ishaan Agarwal,Senior Software Engineer | 5.6+ yrs in data engineering,Senior Software Engineer,0.6912,44,0.2497,0.815,0.56605554
CAND_0040724,41.26901728671109,Anika Sethi,Senior Software Engineer | 5.8+ yrs in data engineering,Senior Software Engineer,0.6422,119,0.3148,0.862,0.5756262
CAND_0042987,41.26714414671677,Shaurya Patel,.NET Developer | Backend systems & APIs,.NET Developer,0.657,124,0.212,0.807,0.5385819
CAND_0000547,41.22884693822305,Tanvi Tiwari,Java Developer | Backend systems & APIs,Java Developer,0.6256,166,0.3652,0.797,0.5731847
CAND_0043427,41.222064738996444,Karan Khanna,"Backend Engineer | SQL, Spark, Cloud",Backend Engineer,0.8792,111,0.5522,0.844,0.5687555
CAND_0026426,41.205156304423646,Ananya Kapoor,"Analytics Engineer | SQL, Spark, Cloud",Analytics Engineer,0.3758,23,0.2572,1.0,0.5102938
CAND_0042421,41.19420476528879,Suresh Dalal,Senior Software Engineer | Data pipelines & analytics,Senior Software Engineer,0.626,116,0.2365,0.843,0.54821396
CAND_0096236,41.16627639596872,Anika Chatterjee,Cloud Engineer | Backend systems & APIs,Cloud Engineer,0.4054,23,0.3324,0.845,0.5593263
CAND_0072948,41.16242081765211,Avni Bhatia,Senior Software Engineer | Data pipelines & analytics,Senior Software Engineer,0.6152,90,0.241,0.802,0.55457497
CAND_0021163,41.13070570936924,Kavya Menon,"Senior Software Engineer | SQL, Spark, Cloud",Senior Software Engineer,0.7604,65,0.2526,0.897,0.55829036
CAND_0092839,41.07648334301016,Yash Chowdary,Analytics Engineer | 7.5+ yrs in data engineering,Analytics Engineer,0.9344,74,0.3092,0.902,0.528733
CAND_0085745,41.072503071060254,Meera Mittal,Java Developer | Backend systems & APIs,Java Developer,0.5528,182,0.283,0.82,0.573476
CAND_0081944,41.07037911805998,Ananya Mittal,"Backend Engineer | SQL, Spark, Cloud",Backend Engineer,0.7544,78,0.4101,0.787,0.5589974
CAND_0033549,41.042147598063416,Sai Iyengar,Senior Software Engineer | 4.1+ yrs in data engineering,Senior Software Engineer,0.4646,148,0.3326,0.91,0.56489396
CAND_0015760,41.02950174640364,Advik Ghosh,AI Research Engineer | Data Science & ML enthusiast,AI Research Engineer,0.785,69,0.4804,0.814,0.5750169
CAND_0075998,41.00489061238334,Riya Chopra,Backend Engineer | Data pipelines & analytics,Backend Engineer,0.3662,91,0.2352,0.987,0.5406788
CAND_0021836,40.96066481910466,Ved Kapoor,ML Engineer | 6.5 yrs in analytics & ML,ML Engineer,0.6968,100,0.2184,0.991,0.4960059
CAND_0098445,40.94613661160104,Kavya Saxena,Data Engineer | 5.0+ yrs in data engineering,Data Engineer,0.769,131,0.3347,0.859,0.57614005
CAND_0058463,40.92307719364415,Reyansh Saxena,Senior Software Engineer | 7.5+ yrs in data engineering,Senior Software Engineer,0.5836,64,0.3968,0.995,0.5535104
CAND_0084437,40.92251994601816,Naina Verma,Data Engineer | Data pipelines & analytics,Data Engineer,0.6632,144,0.6574,0.762,0.5467249
CAND_0064758,40.91745116609379,Nikhil Vora,Frontend Engineer | Cloud & DevOps,Frontend Engineer,0.6146,24,0.384,0.768,0.5528525
CAND_0063232,40.893228486159536,Dhruv Gupta,Data Engineer | 6.6+ yrs in data engineering,Data Engineer,0.4034,24,0.4588,0.931,0.5699314
CAND_0025889,40.88850847583526,Arnav Ghosh,Data Engineer | 5.4+ yrs in data engineering,Data Engineer,0.8288,26,0.3588,0.779,0.5568689
CAND_0060538,40.85654974922499,Om Hegde,ML Engineer | 5.2 yrs in analytics & ML,ML Engineer,0.88,90,0.4937,0.815,0.5474479
CAND_0020350,40.854498158861674,Tanya Reddy,AI Engineer | Applied ML | Building intelligent products,AI Engineer,1.0,72,0.3337,1.0,0.55083454
CAND_0069503,40.85315111469205,Ishaan Dutta,Computer Vision Engineer | Data Science & ML enthusiast,Computer Vision Engineer,0.766,110,0.5374,0.792,0.501637
CAND_0054882,40.83785095969292,Ishaan Verma,Senior Software Engineer | 5.2+ yrs in data engineering,Senior Software Engineer,0.6728,107,0.604,0.779,0.5436137
CAND_0082777,40.81491439162846,Rahul Iyengar,Mobile Developer | Full-stack development,Mobile Developer,0.748,57,0.2908,0.922,0.54903555
CAND_0096131,40.80819865607574,Shreya Menon,AI Specialist | Building ML-powered solutions,AI Specialist,0.8728,35,0.2272,0.903,0.556877
CAND_0082624,40.806952686956556,Meera Mehta,Data Engineer | Data pipelines & analytics,Data Engineer,0.4938,118,0.5472,0.775,0.5296562
CAND_0028134,40.78659906370544,Aarohi Chopra,Senior Software Engineer | Data pipelines & analytics,Senior Software Engineer,0.3828,130,0.2512,0.978,0.51764286
CAND_0014790,40.76857725304279,Dhruv Patel,Analytics Engineer | Data pipelines & analytics,Analytics Engineer,0.5262,132,0.452,0.824,0.5498642
CAND_0023458,40.76035418897723,Ira Kumar,AI Research Engineer | Data Science & ML enthusiast,AI Research Engineer,1.0,84,0.5323,0.911,0.573232
CAND_0040092,40.74151439627676,Vikram Menon,Senior Software Engineer (ML) | Building ML-powered solutions,Senior Software Engineer (ML),0.5288,100,0.4148,0.905,0.56707335
CAND_0023583,40.736311813476256,Anjali Bose,ML Engineer | 4.1 yrs in analytics & ML,ML Engineer,0.85,104,0.2912,1.0,0.561058
CAND_0044753,40.73394890152839,Deepak Mukherjee,"Backend Engineer | SQL, Spark, Cloud",Backend Engineer,0.786,105,0.2797,0.839,0.5263621
CAND_0069355,40.7298863580157,Aditya Shetty,Software Engineer | Cloud & DevOps,Software Engineer,0.6472,130,0.5074,0.867,0.56099164
CAND_0053662,40.70486423374216,Nisha Pandey,Data Engineer | 4.3+ yrs in data engineering,Data Engineer,0.6928,144,0.52,0.978,0.5672271
CAND_0007281,40.68932775558298,Anil Arora,Software Engineer | Cloud & DevOps,Software Engineer,0.677,57,0.296,0.918,0.58164454
CAND_0031954,40.68662581161694,Sunil Khanna,Frontend Engineer | Backend systems & APIs,Frontend Engineer,0.5974,40,0.2924,0.954,0.56421876
CAND_0085888,40.67951607307944,Ananya Trivedi,DevOps Engineer | Full-stack development,DevOps Engineer,0.4148,59,0.3376,0.82,0.5691242
CAND_0062561,40.6787549356598,Suresh Bose,ML Engineer | 5.9 yrs in analytics & ML,ML Engineer,0.522,41,0.636,1.0,0.5509988
CAND_0092070,40.65615262376175,Krishna Mehta,Business Analyst | Exploring AI & GenAI applications,Business Analyst,0.205,103,0.24,0.8,0.6631899
CAND_0033303,40.65295743419729,Aadhya Mehta,AI Specialist | Building ML-powered solutions,AI Specialist,0.68,102,0.3828,0.809,0.51793474
CAND_0064443,40.64295040311054,Pari Sen,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.5424,79,0.3147,0.822,0.5664387
CAND_0087804,40.64005538217363,Rahul Kapoor,AI Specialist | Data Science & ML enthusiast,AI Specialist,0.6856,89,0.2612,1.0,0.5656254
CAND_0089381,40.60312301686862,Zara Naidu,Computer Vision Engineer | Building ML-powered solutions,Computer Vision Engineer,0.384,20,0.4366,1.0,0.48428553
CAND_0063381,40.599105779870726,Aarav Bose,DevOps Engineer | Cloud & DevOps,DevOps Engineer,0.3164,99,0.328,0.795,0.5464362
CAND_0076213,40.587793421684296,Ishaan Rao,QA Engineer | Backend systems & APIs,QA Engineer,0.5668,152,0.2456,0.844,0.55596936
CAND_0098217,40.57618165248178,Kavya Bansal,ML Engineer | 6.4 yrs in analytics & ML,ML Engineer,0.7776,99,0.5796,0.774,0.48744285
CAND_0070544,40.57590200138789,Arjun Desai,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.817,36,0.612,0.903,0.55783206
CAND_0001930,40.56468449654184,Rahul Gupta,Senior Software Engineer (ML) | 6.9 yrs in analytics & ML,Senior Software Engineer (ML),0.8036,99,0.7519,0.783,0.5733935
CAND_0080124,40.5592681686158,Diya Reddy,Data Analyst | Data pipelines & analytics,Data Analyst,0.6526,135,0.3784,0.939,0.517933
CAND_0043304,40.55847506717644,Aarohi Goyal,Junior ML Engineer | 6.5 yrs in analytics & ML,Junior ML Engineer,0.3884,114,0.6341,1.0,0.5683818
CAND_0075491,40.55416640069286,Vivaan Mukherjee,AI Research Engineer | Data Science & ML enthusiast,AI Research Engineer,0.8424,39,0.4172,1.0,0.58935267
CAND_0089495,40.54630180700394,Mira Saxena,Senior Software Engineer (ML) | 4.3 yrs in analytics & ML,Senior Software Engineer (ML),0.5544,62,0.7035,0.776,0.55948246
CAND_0098454,40.53740636884938,Jay Iyengar,AI Specialist | Building ML-powered solutions,AI Specialist,0.8616,19,0.5983,1.0,0.5655418
CAND_0022870,40.53740636884938,Krishna Menon,AI Specialist | Building ML-powered solutions,AI Specialist,0.802,81,0.5324,0.906,0.5573469
CAND_0087406,40.5326568604534,Myra Pandey,Senior Data Engineer | 4.7+ yrs in data engineering,Senior Data Engineer,0.619,23,0.2048,0.883,0.55814874
CAND_0028430,40.53027117701613,Divya Menon,"Analytics Engineer | SQL, Spark, Cloud",Analytics Engineer,0.704,47,0.3021,0.839,0.55253077
CAND_0036484,40.52976668360698,Advaith Singh,AI Research Engineer | Data Science & ML enthusiast,AI Research Engineer,0.655,115,0.3626,0.757,0.5596488
CAND_0095933,40.51680921937132,Aanya Shah,Software Engineer | Full-stack development,Software Engineer,0.48,97,0.318,0.802,0.58905345
CAND_0002770,40.508081668241815,Ritu Khanna,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.91,102,0.2192,0.769,0.54833627
CAND_0038877,40.505271137736386,Ved Arora,Senior Software Engineer | 5.7+ yrs in data engineering,Senior Software Engineer,0.4978,112,0.6909,0.852,0.5569723
CAND_0003791,40.50352493455346,Ritu Bansal,ML Engineer | Building ML-powered solutions,ML Engineer,1.0,100,0.7213,1.0,0.5259199
CAND_0096430,40.5011542763686,Rajesh Pillai,DevOps Engineer | Full-stack development,DevOps Engineer,0.3828,172,0.3588,0.924,0.5294458
CAND_0058098,40.50073114173673,Ayaan Menon,"Backend Engineer | SQL, Spark, Cloud",Backend Engineer,0.8754,66,0.3377,0.787,0.5457394
CAND_0045994,40.483184002490304,Arjun Dalal,Backend Engineer | Data pipelines & analytics,Backend Engineer,0.6766,70,0.4685,0.946,0.5169108
CAND_0010148,40.47598784061431,Tanya Chatterjee,"Analytics Engineer | SQL, Spark, Cloud",Analytics Engineer,0.555,133,0.6034,0.845,0.54774714
CAND_0051466,40.46882733406691,Krishna Gupta,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.6376,63,0.6968,0.89,0.5791794
CAND_0018439,40.4598557410229,Tanvi Khanna,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.4836,53,0.3248,0.922,0.56534106
CAND_0001493,40.446617067896455,Aadhya Dutta,Data Engineer | 6.2+ yrs in data engineering,Data Engineer,0.711,133,0.3966,0.798,0.54239035
CAND_0035391,40.444914625320166,Rohan Krishnan,"Data Engineer | SQL, Spark, Cloud",Data Engineer,0.6006,122,0.6356,0.764,0.528746
CAND_0071920,40.43539744653118,Aditya Sen,Content Writer | Generative AI explorer,Content Writer,0.3686,77,0.3812,0.78,0.57396895
CAND_0099593,40.422851821017815,Nikhil Nair,Full Stack Developer | Backend systems & APIs,Full Stack Developer,0.8368,109,0.3952,0.739,0.56414366
CAND_0065450,40.422827546959,Siya Desai,ML Engineer | Building ML-powered solutions,ML Engineer,1.0,104,0.4516,1.0,0.5409901
CAND_0075931,40.39889498223097,Pari Pillai,Software Engineer | Data pipelines & analytics,Software Engineer,0.4762,24,0.5652,0.771,0.5498724
CAND_0017171,40.39421499195092,Ritu Desai,Analytics Engineer | 6.7+ yrs in data engineering,Analytics Engineer,0.6104,27,0.3736,0.856,0.5509497
CAND_0090234,40.39248626512626,Shaurya Bansal,Senior Software Engineer | 4.3+ yrs in data engineering,Senior Software Engineer,0.5408,39,0.5846,0.945,0.5457721
CAND_0091772,40.382540338256305,Rohan Bhatia,Software Engineer | Data pipelines & analytics,Software Engineer,0.6774,137,0.3272,0.778,0.5478904
CAND_0019701,40.378383311269936,Dev Shetty,DevOps Engineer | Full-stack development,DevOps Engineer,0.3906,128,0.2076,0.895,0.49699116
CAND_0078350,40.37432207629501,Aarav Menon,Mobile Developer | Cloud & DevOps,Mobile Developer,0.536,42,0.2296,0.813,0.5563488
CAND_0043473,40.35901625765937,Yash Bansal,Java Developer | Full-stack development,Java Developer,0.495,113,0.3113,0.736,0.5672354
CAND_0092733,40.35786685618488,Arnav Rao,Frontend Engineer | Backend systems & APIs,Frontend Engineer,0.5124,31,0.3084,0.944,0.56884146
CAND_0031703,40.35780088313901,Krishna Banerjee,ML Engineer | 6.8 yrs in analytics & ML,ML Engineer,0.7776,117,0.343,0.948,0.5428018
CAND_0074322,40.34188193013265,Saanvi Khanna,Mobile Developer | Full-stack development,Mobile Developer,0.449,135,0.3228,0.957,0.54371274
CAND_0073045,40.320859403277254,Suresh Shetty,DevOps Engineer | Full-stack development,DevOps Engineer,0.6782,85,0.2542,0.917,0.56839275
CAND_0028318,40.31649301728335,Yash Mishra,Data Scientist | Building ML-powered solutions,Data Scientist,0.5854,86,0.5318,0.886,0.5658898
CAND_0026344,40.3131267292679,Arnav Pandey,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.789,130,0.5548,0.865,0.51156914
CAND_0016894,40.30409631154609,Meera Shah,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.9568,96,0.3672,0.891,0.53000224
CAND_0044890,40.30126782146422,Ananya Bose,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.9024,104,0.5557,0.905,0.57476187
CAND_0099362,40.28857756425522,Aadhya Rao,DevOps Engineer | Backend systems & APIs,DevOps Engineer,0.4058,94,0.2952,0.841,0.5596776
CAND_0061600,40.28248808613307,Avni Mishra,"Data Analyst | SQL, Spark, Cloud",Data Analyst,0.6462,146,0.3114,0.798,0.47688484
CAND_0015668,40.27605292524762,Meera Agarwal,Software Engineer | Data pipelines & analytics,Software Engineer,0.51,93,0.4742,0.907,0.55649287
CAND_0054546,40.273812449953226,Pooja Ghosh,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.867,22,0.7148,1.0,0.55205345
CAND_0018396,40.26932689626259,Siya Patel,Analytics Engineer | Data pipelines & analytics,Analytics Engineer,0.5842,73,0.5165,0.766,0.5262208
CAND_0072606,40.256180077326874,Pari Hegde,Java Developer | Full-stack development,Java Developer,0.4936,132,0.1852,1.0,0.54974353
CAND_0044113,40.250628920326015,Pranav Naidu,"Senior Software Engineer | SQL, Spark, Cloud",Senior Software Engineer,0.6502,55,0.4904,1.0,0.5497682
CAND_0028287,40.250628920326015,Myra Iyengar,Data Scientist | 5.7 yrs in analytics & ML,Data Scientist,0.91,42,0.6191,0.991,0.5636569
CAND_0069345,40.246038772464075,Sanjay Khanna,QA Engineer | Backend systems & APIs,QA Engineer,0.5452,53,0.2554,0.936,0.5423094
CAND_0029439,40.24333513059504,Pooja Vora,AI Specialist | 6.4 yrs in analytics & ML,AI Specialist,0.949,28,0.5297,1.0,0.5786761
CAND_0034562,40.24109124867745,Saanvi Bose,Analytics Engineer | 6.6+ yrs in data engineering,Analytics Engineer,0.4222,113,0.3104,0.919,0.5269092
CAND_0066179,40.22948249580431,Shaurya Naidu,Senior Software Engineer | 4.2+ yrs in data engineering,Senior Software Engineer,0.6324,37,0.5004,0.908,0.55131865
CAND_0082942,40.21489931555588,Aditya Vora,Full Stack Developer | Cloud & DevOps,Full Stack Developer,0.6042,63,0.3688,1.0,0.5633579
CAND_0093401,40.21489931555588,Kavya Rao,AI Specialist | 6.0 yrs in analytics & ML,AI Specialist,0.7534,24,0.6099,1.0,0.5527162
CAND_0025135,40.209342633659865,Ishaan Verma,Data Engineer | 6.1+ yrs in data engineering,Data Engineer,0.6216,133,0.188,0.871,0.548107
CAND_0021634,40.20844659616232,Zara Mehta,Analytics Engineer | 4.9+ yrs in data engineering,Analytics Engineer,0.5348,125,0.3694,0.973,0.526371
CAND_0072457,40.20837389126012,Nisha Vora,"Analytics Engineer | SQL, Spark, Cloud",Analytics Engineer,0.3834,106,0.5654,0.736,0.50913554
CAND_0064613,40.20271099527843,Vikram Bose,Full Stack Developer | Full-stack development,Full Stack Developer,0.4056,53,0.5478,0.789,0.5630412
CAND_0054100,40.18743067271758,Aanya Patel,Junior ML Engineer | Building ML-powered solutions,Junior ML Engineer,1.0,21,0.6044,1.0,0.5710114
CAND_0034164,40.18608371126204,Aisha Sethi,Data Scientist | Building ML-powered solutions,Data Scientist,0.8784,23,0.4259,1.0,0.55945814
CAND_0026424,40.17535211684738,Deepak Desai,Senior Software Engineer (ML) | Data Science & ML enthusiast,Senior Software Engineer (ML),0.4692,111,0.4776,0.901,0.58285743
CAND_0071747,40.168328886112576,Manish Tiwari,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.5224,21,0.5725,0.902,0.56604373
CAND_0077441,40.15977540065705,Ananya Hegde,Software Engineer | Backend systems & APIs,Software Engineer,0.4034,41,0.344,0.885,0.5718713
CAND_0045475,40.15007842494705,Advaith Vora,ML Engineer | Building ML-powered solutions,ML Engineer,0.811,34,0.5762,0.909,0.47999525
CAND_0009037,40.120920823549646,Shaurya Pillai,Cloud Engineer | Cloud & DevOps,Cloud Engineer,0.3786,154,0.2264,0.699,0.48904908
CAND_0080315,40.11066132903795,Anil Pillai,AI Research Engineer | Building ML-powered solutions,AI Research Engineer,0.9,48,0.4702,0.758,0.5291537
CAND_0065430,40.097878476829166,Dev Singh,ML Engineer | Data Science & ML enthusiast,ML Engineer,0.835,38,0.3122,0.758,0.5363184
CAND_0080203,40.09141891843729,Nikhil Banerjee,Data Analyst | 2.0+ yrs in data engineering,Data Analyst,0.601,132,0.395,0.917,0.5476539
CAND_0031221,40.07221927509717,Priya Iyengar,Senior Data Engineer | 7.6+ yrs in data engineering,Senior Data Engineer,0.6196,69,0.38,0.934,0.5785425
CAND_0027545,40.0699988898662,Advaith Sen,Java Developer | Full-stack development,Java Developer,0.359,138,0.2908,0.966,0.5799723
CAND_0063537,40.06475959016364,Kiara Verma,.NET Developer | Backend systems & APIs,.NET Developer,0.6222,148,0.298,0.952,0.51103604
